gs_cluuid_key,devicetype,ipaddress,footstep_count
-9223372036435781063,Mobile,126035161,5907
-9223372036292224603,Mobile,53967702,5906
-9223372036448474646,Mobile,138427475,5906
-9223372036752392769,Mobile,150318598,5902
-9223372036753251287,Mobile,109347862,5901
-9223372036753140190,Mobile,51650033,5896
-9223372036703792529,Mobile,164271021,5896
-9223372036752877108,Tablet,169875096,5895
-9223372035614563728,Mobile,171700986,5893
-9223372036127810267,Desktop,23450476,5893
-9223372034482590946,Mobile,12162574,5893
-9223372034460588463,Desktop,171438031,5893
-9223372036706482822,Mobile,169025409,5886
-9223372035062816422,Mobile,99561301,5885
-9223372036457813961,Mobile,53590111,5884
-9223372035188247754,Mobile,171085211,5882
-9223372034703431269,Mobile,107266102,5881
-9223372035593746152,Tablet,155084866,5880
-9223372036100057056,Mobile,114657390,5879
-9223372035406413487,Mobile,131120112,5877
-9223372034687910202,Mobile,174180297,5877
-9223372036425775833,Mobile,163476143,5868
-9223372034961062442,Mobile,139944249,5868
-9223372036753025489,Mobile,50653429,5867
-9223372034433422555,Mobile,121696817,5866
-9223372034853228674,Mobile,5307120,5863
-9223372036278914453,Mobile,426425,5861
-9223372034391995996,Mobile,175273953,5861
-9223372034976188068,Mobile,148181423,5860
-9223372034447412583,Mobile,127667421,5858
-9223372036505827338,Mobile,13261991,5856
-9223372036298206177,Mobile,1128193,5856
-9223372036406930674,Mobile,174222390,5855
-9223372035825430377,Mobile,133919721,5854
-9223372034461491587,Mobile,153674610,5854
-9223372036150178709,Mobile,85619688,5853
-9223372034488642572,Mobile,143818695,5850
-9223372036126824071,Mobile,17497370,5845
-9223372036560626214,Mobile,157616344,5844
-9223372034399583581,Mobile,157516416,5841
-9223372036184695331,Mobile,50667564,5841
-9223372036162570189,Mobile,160550166,5840
-9223372036587204078,Mobile,172661677,5839
-9223372034575021338,Mobile,142737982,5832
-9223372035091294918,Mobile,93171539,5830
-9223372035580510460,Mobile,103188525,5826
-9223372035406099593,Mobile,165996798,5826
-9223372036590102681,Mobile,153737359,5818
-9223372036158552028,Mobile,60769319,5818
-9223372035240233750,Mobile,134648723,5817
-9223372034780091346,Mobile,108219260,5816
-9223372036142935312,Mobile,6915265,5813
-9223372035435523852,Desktop,174282658,5811
-9223372036680454243,Mobile,169661092,5809
-9223372036118002893,Mobile,14857727,5808
-9223372036484632752,Mobile,169712161,5807
-9223372034528157429,Desktop,20804526,5806
-9223372036182934579,Mobile,29090088,5804
-9223372034520263646,Mobile,32693178,5803
-9223372036708823386,Mobile,102925691,5803
-9223372036652786588,Mobile,73376380,5799
-9223372036147933136,Mobile,153948079,5796
-9223372034610721278,Mobile,26980491,5796
-9223372035581470174,Mobile,110775887,5794
-9223372035190778222,Mobile,145776879,5793
-9223372034495886668,Mobile,74100645,5792
-9223372034447597101,Mobile,167989689,5792
-9223372036340349597,Mobile,72883469,5791
-9223372036275679260,Mobile,27693997,5786
-9223372036374026523,Mobile,136773133,5782
-9223372034996756958,Mobile,62062068,5781
-9223372035518676291,Mobile,107279337,5780
-9223372036405572164,Mobile,170295760,5779
-9223372036752888680,Mobile,129947956,5778
-9223372036107123563,Mobile,163645351,5776
-9223372036752604994,Mobile,75766677,5776
-9223372034430451798,Mobile,53038205,5769
-9223372035453274630,Mobile,11196114,5768
-9223372035801631178,Mobile,106503871,5765
-9223372036093066127,Mobile,168858458,5765
-9223372036095062530,Mobile,23463126,5763
-9223372036301572832,Mobile,164461593,5762
-9223372034495821295,Mobile,34911946,5761
-9223372036358527189,Mobile,92208650,5759
-9223372034373573249,Mobile,18209522,5756
-9223372036159997424,Mobile,158138886,5755
-9223372034590900574,Mobile,162035040,5754
-9223372036697224719,Mobile,98513731,5753
-9223372034651816622,Mobile,11460386,5749
-9223372036708838137,Mobile,171643124,5749
-9223372034384037692,Desktop,24676482,5749
-9223372036446828588,Mobile,159920541,5749
-9223372035283044639,Mobile,137931607,5747
-9223372036430896298,Mobile,116524905,5742
-9223372034717723890,Mobile,76870692,5739
-9223372036740955603,Mobile,135792584,5739
-9223372035504773784,Mobile,152028556,5736
-9223372036110979858,Mobile,166876078,5735
-9223372035286916697,Mobile,167662822,5735
-9223372036139669853,Mobile,13351406,5731
-9223372034819414303,Mobile,117712349,5730
-9223372036705442376,Mobile,174385179,5729
-9223372035452059525,Mobile,88244177,5726
-9223372036710620805,Mobile,77235175,5726
-9223372036633613381,Mobile,120306463,5724
-9223372035014552419,Mobile,125940511,5721
-9223372034634370406,Mobile,12923038,5721
-9223372035419344047,Mobile,140797430,5719
-9223372035830746795,Mobile,92366780,5714
-9223372035847306709,Mobile,128744468,5712
-9223372036226024075,Mobile,143423453,5711
-9223372035521126983,Mobile,161002301,5705
-9223372036753228309,Mobile,24126581,5705
-9223372036223163872,Mobile,44893291,5704
-9223372036387913346,Mobile,150365631,5704
-9223372035521307512,Mobile,123388020,5701
-9223372036612182058,Mobile,2277305,5699
-9223372034614043651,Mobile,151976298,5699
-9223372035543993234,Mobile,102891325,5699
-9223372035574572784,Mobile,51180071,5696
-9223372034796873917,Mobile,5759628,5695
-9223372036714089562,Mobile,625246,5695
-9223372034458163800,Mobile,147625897,5694
-9223372034410361183,Mobile,125306405,5692
-9223372036612927779,Mobile,98730855,5686
-9223372036431207917,Mobile,125487133,5686
-9223372035568332520,Mobile,23710067,5686
-9223372036753270298,Mobile,151163653,5683
-9223372034450680188,Mobile,172201598,5683
-9223372035417306929,Mobile,86448976,5679
-9223372034611211693,Mobile,93881682,5679
-9223372036433659341,Mobile,113589736,5674
-9223372034545668989,Mobile,110150521,5673
-9223372035827298202,Mobile,76872290,5671
-9223372036164358228,Desktop,97044272,5669
-9223372036098445137,Mobile,168206147,5669
-9223372035335684703,Mobile,117236556,5669
-9223372036186193982,Mobile,163689500,5667
-9223372036536682512,Mobile,99597679,5667
-9223372036561813377,Mobile,6415319,5666
-9223372035322914553,Desktop,136639217,5665
-9223372034495897801,Mobile,32099007,5664
-9223372036700297536,Mobile,532546,5663
-9223372035559352766,Mobile,110028776,5659
-9223372036131604797,Mobile,35962548,5658
-9223372036529615008,Mobile,138174328,5657
-9223372035549215362,Mobile,116159757,5656
-9223372036093453558,Mobile,98705587,5655
-9223372035617332268,Mobile,145573043,5655
-9223372034682505157,Mobile,21266388,5654
-9223372036131185984,Mobile,20660402,5654
-9223372036673115499,Mobile,26609585,5653
-9223372035589807630,Mobile,3168153,5642
-9223372036091867357,Mobile,25608987,5640
-9223372036344630932,Mobile,6427994,5639
-9223372034418107898,Mobile,148385907,5639
-9223372035454661951,Mobile,168409299,5638
-9223372036362854944,Mobile,132732102,5638
-9223372035192779405,Mobile,167185455,5638
-9223372036689609851,Mobile,117998476,5635
-9223372036713989473,Mobile,20930777,5633
-9223372034744022577,Mobile,167939526,5632
-9223372036616715606,Mobile,113104323,5631
-9223372035431598836,Mobile,166871214,5630
-9223372036753196001,Mobile,112628101,5628
-9223372036456139992,Mobile,146987005,5628
-9223372036308179519,Mobile,174245127,5628
-9223372035809184818,Mobile,17054514,5626
-9223372034516452576,Mobile,78920754,5625
-9223372035099230478,Mobile,50818600,5623
-9223372035350447163,Mobile,112068948,5621
-9223372035549643819,Mobile,25629385,5621
-9223372036707459611,Mobile,141437048,5617
-9223372036535626289,Mobile,108379921,5617
-9223372036587961790,Mobile,108566964,5615
-9223372035543146778,Mobile,146975999,5614
-9223372036563808204,Mobile,169233830,5614
-9223372036753068092,Mobile,93663719,5614
-9223372036710572918,Mobile,147150302,5613
-9223372036753256273,Mobile,173174949,5613
-9223372036458310520,Mobile,132958864,5611
-9223372036150883805,Mobile,134203141,5609
-9223372035427229786,Mobile,32859317,5607
-9223372036752120601,Mobile,147425885,5607
-9223372036666107090,Mobile,115022233,5605
-9223372034387051244,Mobile,88633528,5605
-9223372035612957734,Mobile,112620180,5605
-9223372034409746657,Mobile,97261604,5603
-9223372034668773814,Mobile,50366942,5603
-9223372036160093983,Mobile,137121918,5602
-9223372036729187399,Mobile,71643921,5600
-9223372034578312752,Mobile,168003531,5600
-9223372034573053240,Mobile,93342658,5597
-9223372036328352101,Mobile,131101425,5595
-9223372036556517398,Mobile,99051882,5594
-9223372035811751976,Mobile,15595838,5590
-9223372034909401771,Desktop,158432899,5590
-9223372034870633388,Mobile,9153118,5589
-9223372035459848828,Mobile,166912498,5588
-9223372035480256916,Mobile,156476355,5588
-9223372036688718741,Mobile,153542703,5585
-9223372036195050167,Mobile,83309165,5585
-9223372034753652264,Mobile,173852446,5584
-9223372035341664060,Mobile,73511241,5584
-9223372034499442951,Mobile,165176348,5579
-9223372036147722923,Mobile,149768980,5579
-9223372036708389482,Mobile,62022269,5577
-9223372034646140591,Mobile,150825506,5576
-9223372036250085787,Mobile,126303934,5573
-9223372035808336666,Mobile,149760472,5573
-9223372036752268580,Mobile,170107044,5573
-9223372036314400336,Mobile,134398030,5572
-9223372036175948167,Mobile,95828380,5571
-9223372034563017110,Tablet,107863327,5568
-9223372035579467686,Mobile,8930735,5566
-9223372036701400341,Mobile,109802800,5565
-9223372035455622842,Mobile,167544767,5565
-9223372036162128375,Mobile,4085870,5565
-9223372034405683136,Mobile,26140487,5562
-9223372036164204084,Mobile,172005099,5561
-9223372036445307202,Mobile,169274102,5561
-9223372035166899105,Mobile,119826433,5559
-9223372034687111397,Mobile,107410121,5558
-9223372035270989642,Mobile,172064867,5556
-9223372036651028684,Mobile,117297963,5555
-9223372036571572247,Mobile,132303027,5554
-9223372034446743041,Mobile,164573827,5553
-9223372036446143446,Mobile,165068388,5553
-9223372035480947040,Mobile,72195499,5552
-9223372036132672186,Mobile,121063102,5551
-9223372034516703457,Mobile,173378099,5549
-9223372034640940848,Mobile,174136801,5549
-9223372034527782160,Mobile,129810355,5548
-9223372036563284061,Mobile,29045236,5547
-9223372035122599785,Desktop,26661671,5546
-9223372034398311443,Mobile,120309456,5544
-9223372036134526950,Mobile,91165768,5541
-9223372034664885026,Mobile,145837352,5539
-9223372034525716573,Mobile,9935675,5539
-9223372036595843025,Mobile,112545600,5535
-9223372036269959441,Mobile,120642148,5534
-9223372035481693332,Mobile,173978301,5533
-9223372034507222872,Mobile,13611528,5532
-9223372036616310405,Mobile,157413354,5531
-9223372036103506734,Mobile,163448395,5530
-9223372034548394019,Mobile,11447073,5528
-9223372034456085185,Mobile,62623831,5527
-9223372034398593073,Mobile,27058599,5527
-9223372036747001993,Mobile,132630851,5525
-9223372034874903836,Mobile,170719897,5525
-9223372036488457874,Mobile,171653577,5524
-9223372034677816382,Mobile,167484405,5523
-9223372034428561196,Mobile,128133690,5521
-9223372035258267482,Desktop,67379656,5521
-9223372034535770506,Tablet,15690208,5520
-9223372036576575624,Mobile,173973742,5519
-9223372036705513756,Mobile,27134607,5517
-9223372034762604426,Mobile,175517729,5517
-9223372035804252462,Mobile,117263367,5516
-9223372034767473484,Mobile,127067233,5516
-9223372035253126419,Mobile,65744844,5514
-9223372036752095490,Mobile,684178,5512
-9223372036751468523,Mobile,138154558,5511
-9223372036385226353,Mobile,159433243,5511
-9223372036753058598,Mobile,148149658,5510
-9223372036687780035,Mobile,125858389,5505
-9223372036147807502,Mobile,19637783,5504
-9223372034583544613,Mobile,85543318,5504
-9223372036743803545,Mobile,168970226,5503
-9223372034647695216,Mobile,4720632,5502
-9223372034537043771,Mobile,124974792,5499
-9223372034514382842,Mobile,136493365,5496
-9223372034633550907,Mobile,51032923,5495
-9223372035584531966,Mobile,128251561,5495
-9223372036484034446,Mobile,34835058,5494
-9223372034638650516,Mobile,113630011,5494
-9223372035471807556,Mobile,88872298,5493
-9223372036122463841,Mobile,90660873,5493
-9223372034643695442,Mobile,167124382,5490
-9223372036753070666,Mobile,140758452,5489
-9223372034559163194,Mobile,169810968,5487
-9223372036751553925,Mobile,161894719,5486
-9223372036713860833,Mobile,143532371,5485
-9223372036752993291,Mobile,169533135,5485
-9223372034661362446,Desktop,112472712,5484
-9223372034857840466,Mobile,51381760,5482
-9223372036613983693,Mobile,92270015,5482
-9223372034853150656,Mobile,106077948,5481
-9223372035839961429,Mobile,100203134,5481
-9223372035261566787,Mobile,128272952,5481
-9223372034689337317,Mobile,169886873,5480
-9223372036745250740,Desktop,129716909,5480
-9223372034856541843,Mobile,44673037,5479
-9223372035528495720,Mobile,165497974,5477
-9223372035178459964,Mobile,83052343,5475
-9223372035432424242,Mobile,65341399,5474
-9223372034698236982,Desktop,148442048,5474
-9223372036185248824,Mobile,31401327,5473
-9223372035834384899,Mobile,174775755,5472
-9223372035557639609,Mobile,43886045,5471
-9223372035088361651,Mobile,163862337,5471
-9223372036541290349,Mobile,21248757,5468
-9223372035475514311,Mobile,72027343,5466
-9223372036751199381,Mobile,150833983,5465
-9223372036373442938,Mobile,171649240,5465
-9223372035824032942,Mobile,168718107,5465
-9223372036753325816,Mobile,149172678,5463
-9223372035497567329,Mobile,97199088,5460
-9223372034536124711,Mobile,151195613,5459
-9223372036672520071,Mobile,153529356,5459
-9223372034741342125,Mobile,106252776,5458
-9223372035445162540,Mobile,140986973,5458
-9223372035083427322,Mobile,9138662,5457
-9223372036194326935,Mobile,13121597,5457
-9223372036162493545,Mobile,110694776,5456
-9223372034447495205,Desktop,113780970,5456
-9223372034353452592,Mobile,7633207,5456
-9223372034758035460,Mobile,155428242,5455
-9223372036620244026,Mobile,75331804,5454
-9223372036441470640,Mobile,5787577,5451
-9223372034489141945,Mobile,167577293,5450
-9223372034473039492,Mobile,71806011,5448
-9223372036093654590,Mobile,12989376,5447
-9223372034733868537,Mobile,129392498,5446
-9223372034495714769,Mobile,131741375,5445
-9223372035061414518,Mobile,60794805,5443
-9223372036593110593,Mobile,113207037,5442
-9223372036457769792,Mobile,172378250,5440
-9223372035095794667,Mobile,67130694,5439
-9223372036123043383,Mobile,86768885,5439
-9223372035409507921,Mobile,159838412,5437
-9223372035497275810,Mobile,25532297,5436
-9223372036448217441,Mobile,35492739,5432
-9223372034689792216,Mobile,140387510,5431
-9223372034671668856,Mobile,117669014,5431
-9223372034385978350,Mobile,145862796,5429
-9223372036117293356,Mobile,170295509,5428
-9223372036509711486,Mobile,148208649,5426
-9223372036710261240,Mobile,76019863,5424
-9223372035434492927,Mobile,157038080,5424
-9223372036479752753,Mobile,139532490,5424
-9223372034459542719,Desktop,130317453,5424
-9223372034435839216,Mobile,23904286,5423
-9223372036522070907,Mobile,87814524,5420
-9223372034545350752,Mobile,101870847,5419
-9223372036183982334,Mobile,136679767,5419
-9223372036536980747,Mobile,164179746,5418
-9223372036196094003,Mobile,6248792,5418
-9223372035835954447,Mobile,165020198,5415
-9223372036701997653,Mobile,8130325,5412
-9223372035253375237,Mobile,14050825,5412
-9223372034712660231,Mobile,4060654,5411
-9223372034745656308,Mobile,170647164,5401
-9223372034658771832,Mobile,169738387,5401
-9223372034402323566,Mobile,169361586,5400
-9223372035460818096,Mobile,124765023,5399
-9223372034495897485,Mobile,151712834,5398
-9223372034661380175,Mobile,134799955,5395
-9223372036730800059,Mobile,148506383,5393
-9223372036603687303,Mobile,131756628,5391
-9223372034533610376,Mobile,91024245,5389
-9223372034444329485,Mobile,160300071,5388
-9223372034473010686,Mobile,22327008,5388
-9223372034699142752,Mobile,165226507,5387
-9223372035509328266,Mobile,50063961,5385
-9223372035818185213,Mobile,167106323,5377
-9223372034399038400,Mobile,174342675,5375
-9223372036630218812,Mobile,121921387,5369
-9223372034467359641,Mobile,109055970,5367
-9223372036561795689,Mobile,146965328,5367
-9223372035825235748,Mobile,162935499,5367
-9223372034524219638,Mobile,171404000,5365
-9223372034621156565,Mobile,170960029,5365
-9223372035240550050,Mobile,15463192,5365
-9223372034444165197,Mobile,45316905,5363
-9223372036591643291,Mobile,160749794,5362
-9223372036703355021,Mobile,54535178,5362
-9223372035539121813,Mobile,173473066,5361
-9223372036436165451,Mobile,155373798,5356
-9223372036153466081,Mobile,58437232,5356
-9223372036561884032,Mobile,134395299,5356
-9223372035807050983,Mobile,103316955,5355
-9223372036500623478,Mobile,170651429,5354
-9223372036191402946,Mobile,166134364,5352
-9223372035474141389,Mobile,20244464,5351
-9223372035823638767,Mobile,27534435,5351
-9223372036639137741,Mobile,104428609,5348
-9223372034676022425,Mobile,59165579,5345
-9223372036752992116,Mobile,169767593,5345
-9223372034593548320,Mobile,105066941,5343
-9223372036703854962,Mobile,124799543,5343
-9223372036753366452,Mobile,29256947,5341
-9223372034921335136,Mobile,106141368,5340
-9223372036693379928,Desktop,4262896,5340
-9223372035811042720,Mobile,160428378,5339
-9223372036627504496,Mobile,91876907,5337
-9223372035483513533,Mobile,133087174,5332
-9223372036702439020,Mobile,157313645,5331
-9223372035357691570,Mobile,168790910,5331
-9223372035524326472,Mobile,75738723,5329
-9223372036612129977,Mobile,172478935,5329
-9223372036474957582,Mobile,73853490,5328
-9223372034985167828,Mobile,156320404,5327
-9223372034575072670,Mobile,161931048,5326
-9223372035852289913,Mobile,159211159,5324
-9223372034901734957,Mobile,171657860,5324
-9223372034588232381,Mobile,169460887,5323
-9223372035066439129,Tablet,32525009,5323
-9223372035571585415,Mobile,155231403,5322
-9223372036116293727,Mobile,68530346,5322
-9223372035359839724,Mobile,156308952,5321
-9223372036740161864,Mobile,164929984,5319
-9223372036752068699,Mobile,115558699,5318
-9223372036425066947,Mobile,45833950,5317
-9223372035482258382,Mobile,166816024,5317
-9223372036603708496,Mobile,31892841,5316
-9223372036445560277,Mobile,77898151,5315
-9223372035824943340,Mobile,89717934,5315
-9223372036371406120,Mobile,139545904,5315
-9223372035349613617,Mobile,2019379,5314
-9223372036752863891,Mobile,151386648,5313
-9223372034760945582,Mobile,146590781,5312
-9223372035483819046,Mobile,152690722,5311
-9223372036635975681,Mobile,138944947,5311
-9223372034453632861,Mobile,18284191,5310
-9223372036526222849,Mobile,145214537,5309
-9223372034837277124,Desktop,170823930,5308
-9223372035271202439,Mobile,168077792,5308
-9223372035498889875,Mobile,126935477,5306
-9223372036753328166,Mobile,14204053,5305
-9223372035616894274,Mobile,25465258,5304
-9223372035409963104,Mobile,31182463,5302
-9223372036179018506,Mobile,154222239,5301
-9223372036189905621,Mobile,89089063,5301
-9223372035590273034,Mobile,131366687,5300
-9223372034405756662,Mobile,10888728,5300
-9223372036737147353,Mobile,166169720,5298
-9223372036528991869,Mobile,166596363,5296
-9223372035526568071,Mobile,25497696,5295
-9223372036627133282,Mobile,31712034,5294
-9223372036681924460,Mobile,135982718,5293
-9223372034396847920,Mobile,53215974,5293
-9223372036121476961,Mobile,175057996,5292
-9223372035596577092,Mobile,165441071,5292
-9223372035498227269,Mobile,166175713,5291
-9223372036144298624,Mobile,4899605,5289
-9223372035296283568,Mobile,20319854,5287
-9223372034685823999,Mobile,109724555,5287
-9223372034624355533,Mobile,169863892,5286
-9223372036442566744,Mobile,59848117,5286
-9223372034527336260,Mobile,132338901,5285
-9223372035580207480,Mobile,121047376,5283
-9223372036753080242,Mobile,133380341,5282
-9223372034644417247,Mobile,2294358,5281
-9223372036436057257,Mobile,166209068,5281
-9223372035477433578,Mobile,164762157,5280
-9223372036540218069,Mobile,149784372,5280
-9223372034527833511,Mobile,109182504,5280
-9223372034573138464,Desktop,20503027,5279
-9223372034377213460,Mobile,34925222,5278
-9223372036245431701,Mobile,167658218,5277
-9223372036701164020,Mobile,77680232,5276
-9223372034495878143,Mobile,134043766,5275
-9223372036711343774,Mobile,63632868,5274
-9223372034573577644,Mobile,112029643,5274
-9223372036753162966,Mobile,14998864,5271
-9223372036610045544,Mobile,153320498,5270
-9223372034543691010,Mobile,135433090,5269
-9223372036506487184,Mobile,32156426,5268
-9223372035544691148,Mobile,169037333,5267
-9223372034615400382,Mobile,49085388,5266
-9223372034494792963,Desktop,163356541,5264
-9223372035011047503,Mobile,170152275,5263
-9223372036510519873,Mobile,140534404,5261
-9223372035178077470,Mobile,164025068,5261
-9223372034437148126,Mobile,75124226,5260
-9223372035000741992,Mobile,102556002,5259
-9223372035165232076,Desktop,113304853,5259
-9223372035341384739,Mobile,135819700,5258
-9223372036639854820,Mobile,27955750,5257
-9223372036470172640,Mobile,77872043,5256
-9223372036703017719,Mobile,169009134,5254
-9223372036631453990,Mobile,171182829,5252
-9223372036205817083,Mobile,166972480,5250
-9223372036700939999,Mobile,106268672,5247
-9223372035295911647,Mobile,129687613,5245
-9223372034536374120,Mobile,152071923,5244
-9223372036537928783,Mobile,100109950,5242
-9223372034657039577,Mobile,140217819,5242
-9223372034527955605,Mobile,163054598,5241
-9223372034570715361,Mobile,122948445,5240
-9223372034630525830,Mobile,130935246,5239
-9223372036601512030,Mobile,36093073,5238
-9223372034616803719,Mobile,172666862,5238
-9223372034578798820,Mobile,174014364,5237
-9223372035237924802,Mobile,174512459,5237
-9223372034956312576,Tablet,168467716,5237
-9223372036323111468,Mobile,162002795,5236
-9223372036535605483,Mobile,142341187,5233
-9223372035179039432,Desktop,37146227,5232
-9223372036186891658,Mobile,174753412,5231
-9223372034464983143,Mobile,169539771,5230
-9223372034651215197,Mobile,147958618,5230
-9223372036578691386,Mobile,161945842,5229
-9223372034775948099,Mobile,61420248,5228
-9223372036679224626,Mobile,111162590,5226
-9223372036707494823,Mobile,48920755,5220
-9223372036694792548,Mobile,109178011,5220
-9223372036706833078,Mobile,20371633,5219
-9223372035064349453,Mobile,109403739,5219
-9223372036266932267,Mobile,157447410,5219
-9223372035460652927,Mobile,64216119,5219
-9223372034854343290,Mobile,166402566,5217
-9223372034587193415,Desktop,174611926,5217
-9223372036703423524,Mobile,150598683,5215
-9223372034802958309,Mobile,102833953,5214
-9223372034501851676,Tablet,174423114,5212
-9223372036675406023,Mobile,49111478,5208
-9223372034495769726,Desktop,170953887,5206
-9223372036155674743,Mobile,97576225,5205
-9223372036683744345,Mobile,169689101,5204
-9223372035491159085,Mobile,62065865,5203
-9223372035432526531,Mobile,1382545,5199
-9223372036203897145,Mobile,133389145,5199
-9223372034649362517,Desktop,28825903,5199
-9223372035195798344,Mobile,114670082,5198
-9223372035483538062,Mobile,72085900,5197
-9223372036610738075,Mobile,78951333,5197
-9223372035279713338,Mobile,123953789,5196
-9223372034641069158,Mobile,9973140,5196
-9223372036684341735,Mobile,129171686,5194
-9223372036205627363,Mobile,71544691,5194
-9223372036592928571,Mobile,124994569,5193
-9223372036753372375,Mobile,116610638,5193
-9223372034608870308,Desktop,32980653,5192
-9223372036692360936,Mobile,121165749,5191
-9223372036557376109,Mobile,132830151,5191
-9223372035199693496,Mobile,153730524,5191
-9223372034706735983,Mobile,167724997,5191
-9223372034545567619,Mobile,13217482,5188
-9223372036547561865,Mobile,144506425,5187
-9223372035413508264,Mobile,87813265,5187
-9223372035805980873,Mobile,123876876,5186
-9223372034433048735,Mobile,146239759,5184
-9223372036728718734,Mobile,114068696,5181
-9223372036623384115,Mobile,73016763,5181
-9223372036519972592,Mobile,124057157,5180
-9223372036712374106,Mobile,122436231,5180
-9223372034517060853,Mobile,14011429,5178
-9223372034460628211,Mobile,167151160,5178
-9223372036685763480,Mobile,104851578,5177
-9223372036230272393,Mobile,174227552,5176
-9223372036447835432,Mobile,34412092,5176
-9223372034527770692,Mobile,100365315,5175
-9223372036525739549,Mobile,141694717,5175
-9223372034647147803,Mobile,173318214,5174
-9223372034497590042,Mobile,175623583,5174
-9223372035850763922,Tablet,38455265,5173
-9223372036113271806,Mobile,165537383,5172
-9223372036144412770,Mobile,51789288,5171
-9223372034474509775,Mobile,127492572,5171
-9223372034438919019,Mobile,38039028,5171
-9223372036174217222,Mobile,172371292,5170
-9223372036441084459,Mobile,120285377,5170
-9223372034881167704,Mobile,55564325,5164
-9223372034523371830,Mobile,63265500,5163
-9223372036747450668,Mobile,9040430,5163
-9223372035610210105,Mobile,83214835,5163
-9223372036599442907,Mobile,113299305,5162
-9223372034689144730,Mobile,94607570,5162
-9223372035353368669,Mobile,135418898,5161
-9223372034495855903,Mobile,101418107,5160
-9223372036102040263,Mobile,137862879,5159
-9223372034528228146,Mobile,121759190,5159
-9223372034463730861,Mobile,43845787,5158
-9223372036753032249,Mobile,97695519,5157
-9223372036750060390,Mobile,175392417,5157
-9223372036752724499,Mobile,6720091,5156
-9223372035085309676,Mobile,32980653,5155
-9223372035582060429,Mobile,171188800,5155
-9223372035199989322,Mobile,157674692,5153
-9223372034496233221,Mobile,39495979,5151
-9223372036182177700,Mobile,131099470,5150
-9223372034492194044,Mobile,94065228,5149
-9223372035604131096,Mobile,9017892,5148
-9223372035411942831,Mobile,77624375,5147
-9223372034655672965,Mobile,111304274,5146
-9223372034402987216,Desktop,174922880,5146
-9223372036701993533,Mobile,21452866,5143
-9223372036145809412,Mobile,111845003,5142
-9223372034623843944,Mobile,117246220,5142
-9223372034464961355,Mobile,80309428,5141
-9223372036193662667,Mobile,151825649,5139
-9223372035583769904,Mobile,32297183,5139
-9223372036416135834,Mobile,130887126,5138
-9223372034493823442,Mobile,568204,5138
-9223372034783178942,Mobile,86038305,5138
-9223372036666656357,Tablet,45579407,5137
-9223372036125181285,Mobile,174311717,5135
-9223372035049365703,Desktop,7166463,5135
-9223372034773557369,Mobile,174510536,5135
-9223372035461926290,Mobile,119301614,5135
-9223372036753310533,Mobile,147636957,5134
-9223372035551053086,Mobile,96289528,5134
-9223372035085032200,Mobile,117007567,5133
-9223372034477610195,Mobile,93246095,5131
-9223372034604200033,Mobile,106167903,5130
-9223372034410972447,Mobile,2479690,5130
-9223372034679601213,Mobile,97910383,5129
-9223372034636985539,Mobile,29380113,5129
-9223372036503387746,Mobile,31653598,5129
-9223372034400916420,Mobile,124716577,5128
-9223372035465347679,Mobile,80069745,5128
-9223372036243980798,Mobile,7247646,5124
-9223372034495799117,Mobile,150718844,5123
